课程名称,年龄范围,性别,身高,体重,生育史,手术史,绝经状态,主要症状
产后盆底康复,25-40岁,女性,155-170cm,正常或轻度超重,产后6周-2年,无重大盆底手术史,未绝经,产后盆底肌松弛，轻度漏尿
私密抗衰养护,35-55岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,围绝经期或已绝经,阴道松弛，性生活质量下降
私密紧致回春（初步）,30-45岁,女性,155-170cm,正常或轻度超重,有生育史，多次怀孕,无重大盆底手术史,未绝经,阴道松弛明显，性生活满意度下降
私密紧致回春（增强）,30-45岁,女性,155-170cm,正常或轻度超重,已完成初步训练,无重大盆底手术史,未绝经,需要进一步强化紧致效果
私密按摩放松,25-50岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,盆底疼痛，肌肉紧张，性交痛
私密紧致,25-45岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,阴道松弛，性生活质量下降
私密放松,20-50岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,盆底疼痛，肌肉痉挛，排便困难
压力性尿失禁,30-60岁,女性,155-170cm,正常或轻度超重,多次生育或肥胖,无重大盆底手术史,未绝经,咳嗽、打喷嚏、运动时漏尿
急迫性尿失禁,40-70岁,女性,155-170cm,正常或轻度超重,有生育史,可能有神经系统疾病史,未绝经,突然尿意，难以控制，频繁夜尿
混合性尿失禁,30-45岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,盆底功能下降
盆腔脏器脱垂,40-70岁,女性,155-170cm,正常或轻度超重,多次生育或重体力劳动史,无重大盆底手术史,未绝经,盆腔器官下垂，坠胀感，排便排尿困难
便秘(低张型),20-60岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,排便困难，盆底肌收缩力弱
便秘(高张型),20-60岁,女性,155-170cm,正常或轻度超重,有生育史,无重大盆底手术史,未绝经,排便困难，肌肉过度紧张，肛门痉挛
盆底痛,20-50岁,女性,155-170cm,正常或轻度超重,有生育史,可能有外伤或手术史,未绝经,持续性盆底疼痛，性交痛，坐立不安
