课程名称,总课节数,总时长(分钟),电刺激课节,凯格尔课节,触发电刺激课节,课程特点
产后盆底康复,59,540,35,12,8,针对产后盆底康复的专业训练
私密抗衰养护,61,540,28,18,6,针对私密抗衰养护的专业训练
私密紧致回春（初步）,36,450,12,13,0,针对私密紧致回春（初步）的专业训练
私密紧致回春（增强）,37,450,10,18,5,针对私密紧致回春（增强）的专业训练
私密按摩放松,44,450,13,15,2,针对私密按摩放松的专业训练
私密紧致,37,450,10,18,5,针对私密紧致的专业训练
私密放松,33,450,13,14,2,针对私密放松的专业训练
压力性尿失禁,59,540,33,13,9,针对压力性尿失禁的专业训练
急迫性尿失禁,63,540,52,6,3,针对急迫性尿失禁的专业训练
混合性尿失禁,61,540,36,12,9,针对混合性尿失禁的专业训练
盆腔脏器脱垂,58,540,32,14,8,针对盆腔脏器脱垂的专业训练
便秘(低张型),50,450,22,14,11,针对便秘(低张型)的专业训练
便秘(高张型),57,540,28,15,11,针对便秘(高张型)的专业训练
盆底痛,56,450,34,16,6,针对盆底痛的专业训练
