课程名称,课节名称,训练内容,训练类型,时长(分钟),训练目的,适应用户
产后盆底康复,第1节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第1节-肌肉放松,肌肉放松,电刺激,17,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第1节-促血流,促血流,电刺激,8,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第2节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第2节-肌肉放松,肌肉放松,电刺激,17,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第2节-促血流,促血流,电刺激,8,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第3节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第3节-肌肉放松,肌肉放松,电刺激,17,缓解肌肉紧张，降低肌张力，改善肌肉柔韧性,肌张力过高、疼痛敏感的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第3节-促血流,促血流,电刺激,8,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第4节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第4节-I类肌高强度IV,I类肌高强度IV,电刺激,25,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
产后盆底康复,第5节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第5节-I类肌高强度IV,I类肌高强度IV,电刺激,25,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较好、可进行长时间训练的用户
产后盆底康复,第6节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第6节-I类肌高强度IV,I类肌高强度IV,电刺激,17,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第6节-I类肌高强度I,I类肌高强度I,触发电刺激,8,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
产后盆底康复,第7节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
产后盆底康复,第7节-I类肌高强度IV,I类肌高强度IV,电刺激,17,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；肌肉收缩能力较弱、需要被动刺激的用户
产后盆底康复,第7节-I类肌高强度I,I类肌高强度I,触发电刺激,8,未知训练内容，需要进一步分析,肌肉功能较好、可承受强刺激的用户；需要生物反馈训练、提高肌肉控制精度的用户
产后盆底康复,第8节-促血流,促血流,电刺激,5,改善盆底血液循环，促进组织修复和营养供应,血液循环不良、组织修复需求的用户；肌肉收缩能力较弱、需要被动刺激的用户；耐受性较低、需要短时间训练的用户
