训练课程	节次	课节序号	课节内容	训练类型	时长	频率	脉宽	上升时间	下降时间	工作时间	休息时间	是否变频	频率2	脉宽2	频率3	脉宽3	触发方式	阈值控制方式	阈值	重复课节编号
产后盆底康复	第1节	1	促血流	电刺激	5	5	200	1	1	4	6	N								
产后盆底康复	第1节	2	肌肉放松	电刺激	17	100	200	2	1	10	10	N								
产后盆底康复	第1节	3	促血流	电刺激	8	5	200	1	1	4	6	N								1
产后盆底康复	第2节	4	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第2节	5	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
产后盆底康复	第2节	6	促血流	电刺激	8	5	200	1	1	4	6	N								1
产后盆底康复	第3节	7	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第3节	8	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
产后盆底康复	第3节	9	促血流	电刺激	8	5	200	1	1	4	6	N								1
产后盆底康复	第4节	10	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第4节	11	I类肌高强度IV	电刺激	25	30	350	2	2	10	10	N								
产后盆底康复	第5节	12	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第5节	13	I类肌高强度IV	电刺激	25	30	350	2	2	10	10	N								11
产后盆底康复	第6节	14	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第6节	15	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
产后盆底康复	第6节	16	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	
产后盆底康复	第7节	17	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第7节	18	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
产后盆底康复	第7节	19	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第8节	20	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第8节	21	I类肌高强度Ⅲ	电刺激	8	30	300	2	2	10	10	N								
产后盆底康复	第8节	22	Ⅱ类肌低强度I	电刺激	8	50	150	1	1	4	8	N								
产后盆底康复	第8节	23	I类肌高强度I	触发电刺激	9	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第9节	24	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第9节	25	I类肌高强度Ⅲ	电刺激	8	30	300	2	2	10	10	N								21
产后盆底康复	第9节	26	Ⅱ类肌低强度I	电刺激	8	50	150	1	1	4	8	N								22
产后盆底康复	第9节	27	I类肌高强度I	触发电刺激	9	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第10节	28	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第10节	29	I类肌高强度Ⅲ	电刺激	3	30	300	2	2	10	10	N								21
产后盆底康复	第10节	30	Ⅱ类肌低强度I	电刺激	8	50	150	1	1	4	8	N								22
产后盆底康复	第10节	31	I类肌高强度I	触发电刺激	9	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第10节	32	I型肌初步训练	凯格尔训练	5															
产后盆底康复	第11节	33	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第11节	34	I类肌高强度Ⅲ	电刺激	3	30	300	2	2	10	10	N								21
产后盆底康复	第11节	35	Ⅱ类肌低强度I	电刺激	8	50	150	1	1	4	8	N								22
产后盆底康复	第11节	36	I类肌高强度I	触发电刺激	9	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第11节	37	I型肌初步训练	凯格尔训练	5															
产后盆底康复	第12节	38	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第12节	39	Ⅱ类肌中强度I	电刺激	5	60	100	1	1	4	8	N								
产后盆底康复	第12节	40	I型肌强化训练	凯格尔训练	15															
产后盆底康复	第12节	41	Ⅱ型肌初步训练	凯格尔训练	5															
产后盆底康复	第13节	42	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第13节	43	Ⅱ类肌中强度I	电刺激	5	60	100	1	1	4	8	N								39
产后盆底康复	第13节	44	I型肌强化训练	凯格尔训练	15															
产后盆底康复	第13节	45	Ⅱ型肌初步训练	凯格尔训练	5															
产后盆底康复	第14节	46	快速收缩训练	凯格尔训练	5															
产后盆底康复	第14节	47	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第14节	48	I类肌高强度I	触发电刺激	5	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第14节	49	混合肌初步训练	凯格尔训练	15															
产后盆底康复	第15节	50	促血流	电刺激	5	5	200	1	1	4	6	N								1
产后盆底康复	第15节	51	I类肌高强度I	触发电刺激	5	30	300	1	0	10	5	N					高于阈值	自动	未知	16
产后盆底康复	第15节	52	混合肌初步训练	凯格尔训练	10															
产后盆底康复	第15节	53	饥饿鲨鱼	游戏互动	10															
产后盆底康复	第16节	54	混合肌初步训练	凯格尔训练	15															
产后盆底康复	第16节	55	饥饿鲨鱼	游戏互动	15															
产后盆底康复	第17节	56	混合肌初步训练	凯格尔训练	15															
产后盆底康复	第17节	57	饥饿鲨鱼	游戏互动	15															
产后盆底康复	第18节	58	盆底肌功能协调性训练	凯格尔训练	15															
产后盆底康复	第18节	59	饥饿鲨鱼	游戏互动	15															
私密抗衰养护	 第1节  	60	促血流	电刺激	5	5	200	1	1	4	6	N								1
私密抗衰养护	 第1节  	61	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
私密抗衰养护	 第1节  	62	促血流	电刺激	8	5	200	1	1	4	6	N								1
私密抗衰养护	 第2节  	63	促血流	电刺激	5	5	200	1	1	4	6	N								1
私密抗衰养护	 第2节  	64	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
私密抗衰养护	 第2节  	65	促血流	电刺激	8	5	200	1	1	4	6	N								1
私密抗衰养护	 第3节  	66	促血流	电刺激	5	5	200	1	1	4	6	N								1
