课程内容步骤1	课程内容步骤2	课程内容步骤3	课程内容步骤4	课程内容步骤5	课程内容步骤6
促血流：5分钟	肌肉放松：17分钟	促血流：8分钟			
促血流：5分钟	肌肉放松：17分钟	促血流：8分钟			
促血流：5分钟	肌肉放松：17分钟	促血流：8分钟			
促血流：5分钟	I类肌高强度IV：25分钟				
促血流：5分钟	I类肌高强度IV：25分钟				
促血流：5分钟	I类肌高强度V：17分钟	I类肌高强度V：8分钟			
促血流：5分钟	I类肌高强度IV：17分钟	I类肌高强度IV：8分钟			
促血流：5分钟	I类肌高强度III：8分钟	I类肌低强度I：8分钟	I类肌高强度IV：9分钟		
促血流：5分钟	I类肌高强度III：6分钟	I类肌低强度I：8分钟	I类肌高强度IV：9分钟		
促血流：5分钟	I类肌高强度III：3分钟	I类肌低强度I：8分钟	I类肌高强度IV：9分钟	I型肌初步训练：5分钟	
促血流：5分钟	I类肌高强度III：3分钟	I类肌低强度I：8分钟	I类肌高强度IV：9分钟	I型肌加强训练：5分钟	
促血流：5分钟	II类肌中强度I：5分钟	II型肌强化训练：15分钟	II型肌初步训练：5分钟		
促血流：5分钟	II类肌中强度I：5分钟	II型肌强化训练：15分钟	II型肌初步训练：5分钟		
快速收缩训练：5分钟	促血流：5分钟	II类肌高强度I：5分钟	混合肌初步训练：15分钟		
促血流：5分钟	II类肌高强度I：5分钟	混合肌初步训练：10分钟	饥饿鲨鱼：10分钟		
混合肌初步训练：15分钟	饥饿鲨鱼：15分钟				
混合肌初步训练：15分钟	饥饿鲨鱼：15分钟				
盆底肌功能协调性训练：15分钟	饥饿鲨鱼：15分钟				
促血流: 5分钟	肌肉放松: 17分钟	促血流: 8分钟                			
促血流: 5分钟	肌肉放松: 17分钟	促血流: 8分钟                			
促血流: 5分钟	肌肉放松: 17分钟	促血流: 8分钟                			
促血流: 5分钟	I类肌高强度IV: 25分钟                              				
促血流: 6分钟	I类肌高强度IV: 17分钟	I类肌高强度V: 8分钟      			
促血流: 5分钟	I类肌高强度III: 8分钟	II类肌低强度I: 8分钟	I类肌高强度V: 9分钟 		
促血流: 5分钟	I类肌高强度III: 3分钟	II类肌低强度I: 8分钟	I类肌高强度V: 9分钟	II型肌初步训练: 5分钟 	
促血流: 5分钟	I类肌高强度III: 3分钟	II类肌低强度I: 8分钟	I类肌高强度V: 9分钟	II型肌加强训练: 5分钟 	
促血流: 5分钟	II类肌中强度II: 5分钟	II型肌强化训练: 15分钟	II型肌初步训练: 5分钟 		
促血流: 5分钟	II类肌中强度I: 5分钟	II型肌强化训练: 10分钟	II型肌初步训练: 10分钟 		
快速收缩训练: 5分钟	促血流: 5分钟	I类肌高强度V: 5分钟	混合肌初步训练: 15分钟 		
促血流: 5分钟	I类肌高强度V: 5分钟	混合肌初步训练: 10分钟	饥饿鲨鱼: 10分钟 		
混合肌初步训练: 15分钟	饥饿鲨鱼: 15分钟                          				
II型肌初步训练: 10分钟	II型肌加强训练: 10分钟	牵张放松-简单: 10分钟 			
II型肌强化训练: 15分钟	II型肌初步训练: 5分钟	水母芭蕾: 10分钟 			
快速收缩训练: 5分钟	混合肌初步训练: 15分钟	滑板旅行: 10分钟   			
混合肌初步训练: 20分钟	欢乐娃娃机: 5分钟	水母芭蕾: 5分钟     			
盆底肌功能协调性训练: 20分钟	欢乐娃娃机: 5分钟	滑板旅行: 5分钟 			
II类肌高强度II: 15分钟	I类肌低强度I: 15分钟                      				
II类肌高强度II: 15分钟	I类肌低强度I: 15分钟                      				
I类肌高强度IV: 30分钟                                                 					
I类肌高强度IV: 30分钟                                                 					
I类肌高强度III: 15分钟	II类肌低强度I: 15分钟                     				
I类肌高强度III: 15分钟	II类肌低强度I: 15分钟                     				
II类肌中强度I: 30分钟                                                 					
II类肌中强度I: 30分钟                                                 					
II型肌加强训练: 5分钟	I型肌强化训练: 15分钟	牵张放松-简单: 10分钟 			
I型肌强化训练: 15分钟	II型肌初步训练: 5分钟	水母芭蕾: 10分钟   			
混合肌初步训练: 15分钟	混合肌增强训练: 5分钟	滑板旅行: 10分钟   			
快速收缩训练: 5分钟	A3反射训练: 15分钟	欢乐娃娃机: 5分钟	水母芭蕾: 5分钟 		
盆底肌功能协调性训练: 15分钟	欢乐娃娃机: 10分钟	滑板旅行: 5分钟   			
肌肉收缩放松训练: 5分钟	腹部-会阴部协调训练: 10分钟	欢乐娃娃机: 10分钟	水母芭蕾: 5分钟 		
快速收缩训练: 5分钟	渐进控制收缩训练: 10分钟	欢乐娃娃机: 10分钟	滑板旅行: 5分钟   		
II类肌高强度II: 15分钟	I类肌低强度I: 15分钟                      				
II类肌高强度II: 15分钟	I类肌低强度I: 15分钟                      				
I类肌高强度IV: 20分钟	I类肌高强度I: 10分钟                       				
I类肌高强度III: 10分钟	II类肌低强度I: 10分钟	I类肌高强度I: 10分钟 			
I类肌高强度III: 5分钟	II类肌低强度I: 10分钟	I类肌高强度I: 10分钟	II型肌加强训练: 5分钟 		
II类肌中强度I: 10分钟	II型肌强化训练: 15分钟	II型肌初步训练: 5分钟 			
快速收缩训练: 5分钟	I类肌高强度I: 10分钟	混合肌初步训练: 15分钟 			
I类肌高强度I: 10分钟	混合肌初步训练: 10分钟	混合肌增强训练: 10分钟 			
混合肌初步训练: 15分钟	A3反射训练: 15分钟                        				
盆底肌功能协调性训练: 15分钟	肌肉收缩放松训练: 15分钟            				
混合肌初步训练: 15分钟	盆底肌功能协调性训练: 15分钟              				
混合肌增强训练: 15分钟	饥饿鲨鱼: 15分钟                          				
腹部-会阴部协调训练: 15分钟	饥饿鲨鱼: 15分钟                      				
