训练类型	训练课程名称	方案分类	时长	适应症	训练方案概述	训练方案设计
促血流	促血流	电刺激	5分钟		单次循环时间10s,每6s休息一次，电刺激一次4s，电压，用户自主选择设置	设计按钮
促血流	促血流	电刺激	6分钟			
促血流	促血流	电刺激	8分钟			
促血流	促血流	电刺激	10分钟			
A3反射训练	A3反射训练	凯格尔训练	5分钟			
A3反射训练	A3反射训练	凯格尔训练	10分钟			
A3反射训练	A3反射训练	凯格尔训练	15分钟			
I型肌	I型肌初步训练	凯格尔训练	5分钟			
I型肌	I型肌加强训练	凯格尔训练	5分钟			
I型肌	I型肌强化训练	凯格尔训练	5分钟			
I型肌	I型肌强化训练	凯格尔训练	6分钟			
I型肌	I型肌强化训练	凯格尔训练	10分钟			
I型肌	I型肌强化训练	凯格尔训练	15分钟			
II型肌	II型肌初步训练	凯格尔训练	5分钟			
II型肌	II型肌初步训练	凯格尔训练	10分钟			
II型肌	II型肌加强训练	凯格尔训练	5分钟			
II型肌	II型肌加强训练	凯格尔训练	10分钟			
II型肌	II型肌加强训练	凯格尔训练	15分钟			
II型肌	II型肌强化训练	凯格尔训练	5分钟			
II型肌	II型肌强化训练	凯格尔训练	10分钟			
II型肌	II型肌强化训练	凯格尔训练	15分钟			
I类肌	I类肌中强度I	电刺激	5分钟			
I类肌	I类肌中强度I	电刺激	10分钟			
I类肌	I类肌中强度II	电刺激	10分钟			
I类肌	I类肌中强度II	电刺激	15分钟			
I类肌	I类肌低强度I	电刺激	5分钟			
I类肌	I类肌低强度I	电刺激	8分钟			
I类肌	I类肌低强度I	电刺激	13分钟			
I类肌	I类肌低强度I	电刺激	15分钟			
I类肌	I类肌高强度I	触发电刺激	5分钟			
I类肌	I类肌高强度I	触发电刺激	8分钟			
I类肌	I类肌高强度I	触发电刺激	10分钟			
I类肌	I类肌高强度II	电刺激	5分钟			
I类肌	I类肌高强度II	电刺激	10分钟			
I类肌	I类肌高强度III	电刺激	2分钟			
I类肌	I类肌高强度III	电刺激	3分钟			
I类肌	I类肌高强度III	电刺激	5分钟			
I类肌	I类肌高强度III	电刺激	6分钟			
I类肌	I类肌高强度III	电刺激	8分钟			
I类肌	I类肌高强度III	电刺激	10分钟			
I类肌	I类肌高强度III	电刺激	15分钟			
I类肌	I类肌高强度III	电刺激	20分钟			
I类肌	I类肌高强度IV	电刺激	5分钟			
I类肌	I类肌高强度IV	电刺激	7分钟			
I类肌	I类肌高强度IV	电刺激	8分钟			
I类肌	I类肌高强度IV	电刺激	9分钟			
I类肌	I类肌高强度IV	电刺激	10分钟			
I类肌	I类肌高强度IV	电刺激	15分钟			
